Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0131218841	0	0	0	0	0	0	1000	0	0	0	3
2	6	0	0.0262437683	0	0	0	0	0	0	1000	0	0	0	3
3	8	0	0.0393656524	0	0	0	0	0	0	1000	0	0	0	3
4	9	0	0.0524875365	0	0	0	0	0	0	1000	0	0	0	3
5	11	0	0.0656094206	0	0	0	0	0	0	1000	0	0	0	3
6	12	0	0.0787313048	0	0	0	0	0	0	1000	0	0	0	3
7	14	0	0.0918531889	0	0	0	0	0	0	1000	0	0	0	3
8	15	0	0.104975073	0	0	0	0	0	0	1000	0	0	0	3
9	17	0	0.118096957	0	0	0	0	0	0	1000	0	0	0	3
10	18	0	0.131218841	0	0	0	0	0	0	1000	0	0	0	3
11	19	0	0.144340725	0	0	0	0	0	0	1000	0	0	0	3
12	21	0	0.15746261	0	0	0	0	0	0	1000	0	0	0	3
13	23	0	0.170584494	0	0	0	0	0	0	1000	0	0	0	3
14	24	0	0.183706378	0	0	0	0	0	0	1000	0	0	0	3
15	25	0	0.196828262	0	0	0	0	0	0	1000	0	0	0	3
16	27	0	0.209950146	0	0	0	0	0	0	1000	0	0	0	3
17	29	0	0.22307203	0	0	0	0	0	0	1000	0	0	0	3
18	30	0	0.236193914	0	0	0	0	0	0	1000	0	0	0	3
19	32	0	0.249315798	0	0	0	0	0	0	1000	0	0	0	3
20	33	0	0.262437683	0	0	0	0	0	0	1000	0	0	0	3
21	35	0	0.275559567	0	0	0	0	0	0	1000	0	0	0	3
22	37	0	0.288681451	0	0	0	0	0	0	1000	0	0	0	3
23	38	0	0.301803335	0	0	0	0	0	0	1000	0	0	0	3
24	40	0	0.314925219	0	0	0	0	0	0	1000	0	0	0	3
25	42	0	0.328047103	0	0	0	0	0	0	1000	0	0	0	3
26	44	0	0.341168987	0	0	0	0	0	0	1000	0	0	0	3
27	46	0	0.354290871	0	0	0	0	0	0	1000	0	0	0	3
28	47	0	0.367412756	0	0	0	0	0	0	1000	0	0	0	3
29	49	0	0.38053464	0	0	0	0	0	0	1000	0	0	0	3
30	51	0	0.393656524	0	0	0	0	0	0	1000	0	0	0	3
31	53	0	0.406778408	0	0	0	0	0	0	1000	0	0	0	3
32	54	0	0.419900292	0	0	0	0	0	0	1000	0	0	0	3
33	56	0	0.433022176	0	0	0	0	0	0	1000	0	0	0	3
34	58	0	0.44614406	0	0	0	0	0	0	1000	0	0	0	3
35	60	0	0.459265944	0	0	0	0	0	0	1000	0	0	0	3
36	62	0	0.472387829	0	0	0	0	0	0	1000	0	0	0	3
37	64	0	0.485509713	0	0	0	0	0	0	1000	0	0	0	3
38	65	0	0.498631597	0	0	0	0	0	0	1000	0	0	0	3
39	67	0	0.511753481	0	0	0	0	0	0	1000	0	0	0	3
40	69	0	0.524875365	0	0	0	0	0	0	1000	0	0	0	3
41	71	0	0.537997249	0	0	0	0	0	0	1000	0	0	0	3
42	72	0	0.551119133	0	0	0	0	0	0	1000	0	0	0	3
43	74	0	0.564241017	0	0	0	0	0	0	1000	0	0	0	3
44	76	0	0.577362902	0	0	0	0	0	0	1000	0	0	0	3
45	78	0	0.590484786	0	0	0	0	0	0	1000	0	0	0	3
46	80	0	0.60360667	0	0	0	0	0	0	1000	0	0	0	3
47	82	0	0.616728554	0	0	0	0	0	0	1000	0	0	0	3
48	84	0	0.629850438	0	0	0	0	0	0	1000	0	0	0	3
49	86	0	0.642972322	0	0	0	0	0	0	1000	0	0	0	3
50	87	0	0.656094206	0	0	0	0	0	0	1000	0	0	0	3
51	89	0	0.66921609	0	0	0	0	0	0	1000	0	0	0	3
52	91	0	0.682337975	0	0	0	0	0	0	1000	0	0	0	3
53	93	0	0.695459859	0	0	0	0	0	0	1000	0	0	0	3
54	95	0	0.708581743	0	0	0	0	0	0	1000	0	0	0	3
55	96	0	0.721703627	0	0	0	0	0	0	1000	0	0	0	3
56	98	0	0.734825511	0	0	0	0	0	0	1000	0	0	0	3
57	100	0	0.747947395	0	0	0	0	0	0	1000	0	0	0	3
58	102	0	0.761069279	0	0	0	0	0	0	1000	0	0	0	3
59	104	0	0.774191163	0	0	0	0	0	0	1000	0	0	0	3
60	105	0	0.787313048	0	0	0	0	0	0	1000	0	0	0	3
61	107	0	0.800434932	0	0	0	0	0	0	1000	0	0	0	3
62	109	0	0.813556816	0	0	0	0	0	0	1000	0	0	0	3
63	111	0	0.8266787	0	0	0	0	0	0	1000	0	0	0	3
64	112	0	0.839800584	0	0	0	0	0	0	1000	0	0	0	3
65	114	0	0.852922468	0	0	0	0	0	0	1000	0	0	0	3
66	116	0	0.866044352	0	0	0	0	0	0	1000	0	0	0	3
67	117	0	0.879166236	0	0	0	0	0	0	1000	0	0	0	3
68	119	0	0.892288121	0	0	0	0	0	0	1000	0	0	0	3
69	121	0	0.905410005	0	0	0	0	0	0	1000	0	0	0	3
70	123	0	0.918531889	0	0	0	0	0	0	1000	0	0	0	3
71	124	0	0.931653773	0	0	0	0	0	0	1000	0	0	0	3
72	126	0	0.944775657	0	0	0	0	0	0	1000	0	0	0	3
73	128	0	0.957897541	0	0	0	0	0	0	1000	0	0	0	3
74	130	0	0.971019425	0	0	0	0	0	0	1000	0	0	0	3
75	131	0	0.98414131	0	0	0	0	0	0	1000	0	0	0	3
76	133	0	0.997263194	0	0	0	0	0	0	1000	0	0	0	3
77	134	0	1.01038508	0	0	0	0	0	0.001	1000	0	0	0	3
