Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0131218841	293.2	293.2	293.2	293.2	0	0	0	5.09244e-005	0	0	3
2	6	0	0.0262437683	293.2	293.2	293.2	293.2	1.53022484e-010	0	0	9.85362e-005	0	0	3
3	8	0	0.0393656524	293.2	293.2	293.2	293.2	2.54999577e-010	0	0	0.000136207	0	0	3
4	9	0	0.0524875365	293.2	293.2	293.2	293.2	3.6993697e-010	0	0	0.000162658	0	0	3
5	11	0	0.0656094206	293.2	293.2	293.2	293.2	4.75608886e-010	0	0	0.000167512	0	0	3
6	12	0	0.0787313048	293.2	293.2	293.2	293.2	5.85202997e-010	0	0	0.00017093	0	0	3
7	14	0	0.0918531889	293.2	293.2	293.2	293.2	6.89908575e-010	0	0	0.000170102	0	0	3
8	15	0	0.104975073	293.2	293.2	293.2	293.2	7.92681476e-010	0	0	0.000168755	0	0	3
9	17	0	0.118096957	293.2	293.2	293.2	293.2	8.98808139e-010	0	0	0.000163557	0	0	3
10	18	0	0.131218841	293.2	293.2	293.2	293.2	1.01084652e-009	0	0	0.000156434	0	0	3
11	19	0	0.144340725	293.2	293.2	293.2	293.2	1.13459464e-009	0	0	0.000143895	0	0	3
12	21	0	0.15746261	293.2	293.2	293.2	293.2	1.13459464e-009	0	0	0.000157357	0	0	3
13	23	0	0.170584494	293.2	293.2	293.2	293.2	1.13459464e-009	0	0	0.000158395	0	0	3
14	24	0	0.183706378	293.2	293.2	293.2	293.2	1.13459464e-009	0	0	0.000161552	0	0	3
15	25	0	0.196828262	293.2	293.2	293.2	293.2	1.81813675e-009	0	0	0.000159477	0	0	3
16	27	0	0.209950146	293.2	293.2	293.2	293.2	2.86644308e-009	0	0	0.000157663	0	0	3
17	29	0	0.22307203	293.2	293.2	293.2	293.2	4.18890522e-009	0	0	0.000154296	0	0	3
18	30	0	0.236193914	293.2	293.2	293.2	293.2	5.69968961e-009	0	0	0.000153761	0	0	3
19	32	0	0.249315798	293.2	293.2	293.2	293.2	7.42466e-009	0	0	0.000150738	0	0	3
20	33	0	0.262437683	293.2	293.2	293.2	293.2	9.26843313e-009	0	0	0.000153414	0	0	3
21	35	0	0.275559567	293.2	293.2	293.2	293.2	1.14531531e-008	0	0	0.000154816	0	0	3
22	37	0	0.288681451	293.2	293.2	293.2	293.2	1.38878136e-008	0	0	0.00015809	0	0	3
23	38	0	0.301803335	293.2	293.2	293.2	293.2	1.64907874e-008	0	0	0.000159225	0	0	3
24	40	0	0.314925219	293.2	293.2	293.2	293.2	1.9164986e-008	0	0	0.000162112	0	0	3
25	42	0	0.328047103	293.2	293.2	293.2	293.2	2.18418563e-008	0	0	0.000162863	0	0	3
26	44	0	0.341168987	293.2	293.2	293.2	293.2	2.45231604e-008	0	0	0.000165327	0	0	3
27	46	0	0.354290871	293.2	293.2	293.2	293.2	2.71559202e-008	0	0	0.00016573	0	0	3
28	47	0	0.367412756	293.2	293.2	293.2	293.2	2.9755256e-008	0	0	0.000167278	0	0	3
29	49	0	0.38053464	293.2	293.2	293.2	293.2	3.23316272e-008	0	0	0.000167064	0	0	3
30	51	0	0.393656524	293.2	293.2	293.2	293.2	3.49303377e-008	0	0	0.000168438	0	0	3
31	53	0	0.406778408	293.2	293.2	293.2	293.2	3.76296043e-008	0	0	0.000168198	0	0	3
32	54	0	0.419900292	293.2	293.2	293.2	293.2	4.04079401e-008	0	0	0.000169605	0	0	3
33	56	0	0.433022176	293.2	293.2	293.2	293.2	4.31834906e-008	0	0	0.000169214	0	0	3
34	58	0	0.44614406	293.2	293.2	293.2	293.2	4.59065745e-008	0	0	0.000170584	0	0	3
35	60	0	0.459265944	293.2	293.2	293.2	293.2	4.85274541e-008	0	0	0.000170124	0	0	3
36	62	0	0.472387829	293.2	293.2	293.2	293.2	5.10285076e-008	0	0	0.000171343	0	0	3
37	64	0	0.485509713	293.2	293.2	293.2	293.2	5.33967182e-008	0	0	0.000170728	0	0	3
38	65	0	0.498631597	293.2	293.2	293.2	293.2	5.5635951e-008	0	0	0.000172326	0	0	3
39	67	0	0.511753481	293.2	293.2	293.2	293.2	5.77571768e-008	0	0	0.000171382	0	0	3
40	69	0	0.524875365	293.2	293.2	293.2	293.2	6.1274477e-008	0	0	0.000173115	0	0	3
41	71	0	0.537997249	293.2	293.2	293.2	293.2	6.48026344e-008	0	0	0.000171857	0	0	3
42	72	0	0.551119133	293.2	293.2	293.2	293.2	6.83360213e-008	0	0	0.000173774	0	0	3
43	74	0	0.564241017	293.2	293.2	293.2	293.2	7.18800379e-008	0	0	0.000172889	0	0	3
44	76	0	0.577362902	293.2	293.2	293.2	293.2	7.54295115e-008	0	0	0.000174159	0	0	3
45	78	0	0.590484786	293.2	293.2	293.2	293.2	7.8988478e-008	0	0	0.000172379	0	0	3
