Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0115323408	0	0	0	0	0	0	0	0	0	0	3
2	11	0	0.0230646817	0	0	0	0	0	0	0	0	0	0	3
3	14	0	0.0345970225	0	0	0	0	0	0	0	0	0	0	3
4	18	0	0.0461293634	0	0	0	0	0	0	0	0	0	0	3
5	21	0	0.0576617042	0	0	0	0	0	0	0	0	0	0	3
6	24	0	0.0691940451	0	0	0	0	0	0	0	0	0	0	3
7	27	0	0.0807263859	0	0	0	0	0	0	0	0	0	0	3
8	30	0	0.0922587268	0	0	0	0	0	0	0	0	0	0	3
9	33	0	0.103791068	0	0	0	0	0	0	0	0	0	0	3
10	37	0	0.115323408	0	0	0	0	0	0	0	0	0	0	3
11	40	0	0.126855749	0	0	0	0	0	0	0	0	0	0	3
12	43	0	0.13838809	0	0	0	0	0	0	0	0	0	0	3
13	46	0	0.149920431	0	0	0	0	0	0	0	0	0	0	3
14	50	0	0.161452772	0	0	0	0	0	0	0	0	0	0	3
15	53	0	0.172985113	0	0	0	0	0	0	0	0	0	0	3
16	57	0	0.184517454	0	0	0	0	0	0	0	0	0	0	3
17	61	0	0.196049794	0	0	0	0	0	0	0	0	0	0	3
18	65	0	0.207582135	0	0	0	0	0	0	0	0	0	0	3
19	68	0	0.219114476	0	0	0	0	0	0	0	0	0	0	3
20	72	0	0.230646817	0	0	0	0	0	0	0	0	0	0	3
21	75	0	0.242179158	0	0	0	0	0	0	0	0	0	0	3
22	79	0	0.253711499	0	0	0	0	0	0	0	0	0	0	3
23	83	0	0.265243839	0	0	0	0	0	0	0	0	0	0	3
24	87	0	0.27677618	0	0	0	0	0	0	0	0	0	0	3
25	91	0	0.288308521	0	0	0	0	0	0	0	0	0	0	3
26	94	0	0.299840862	0	0	0	0	0	0	0	0	0	0	3
27	98	0	0.311373203	0	0	0	0	0	0	0	0	0	0	3
28	101	0	0.322905544	0	0	0	0	0	0	0	0	0	0	3
29	104	0	0.334437885	0	0	0	0	0	0	0	0	0	0	3
30	108	0	0.345970225	0	0	0	0	0	0	0	0	0	0	3
31	111	0	0.357502566	0	0	0	0	0	0	0	0	0	0	3
32	115	0	0.369034907	0	0	0	0	0	0	0	0	0	0	3
33	118	0	0.380567248	0	0	0	0	0	0	0	0	0	0	3
34	123	0	0.392099589	0	0	0	0	0	0	0	0	0	0	3
35	126	0	0.40363193	0	0	0	0	0	0	0	0	0	0	3
36	131	0	0.41516427	0	0	0	0	0	0	0	0	0	0	3
37	135	0	0.426696611	0	0	0	0	0	0	0	0	0	0	3
38	139	0	0.438228952	0	0	0	0	0	0	0	0	0	0	3
39	142	0	0.449761293	0	0	0	0	0	0	0	0	0	0	3
40	147	0	0.461293634	0	0	0	0	0	0	0	0	0	0	3
41	151	0	0.472825975	0	0	0	0	0	0	0	0	0	0	3
42	155	0	0.484358315	0	0	0	0	0	0	0	0	0	0	3
43	159	0	0.495890656	0	0	0	0	0	0	0	0	0	0	3
44	163	0	0.507422997	0	0	0	0	0	0	0	0	0	0	3
45	167	0	0.518955338	0	0	0	0	0	0	0	0	0	0	3
46	171	0	0.530487679	0	0	0	0	0	0	0	0	0	0	3
47	174	0	0.54202002	0	0	0	0	0	0	0	0	0	0	3
