Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0115323408	101346.734	101346.734	101346.734	101346.734	0	0	0	79953	0	0	3
2	11	0	0.0230646817	101337.711	101342.223	101337.711	101346.734	4.511264	0	0	59128.5	0	0	3
3	14	0	0.0345970225	101330.268	101338.238	101330.268	101346.734	8.49623073	0	0	51048.7	0	0	3
4	18	0	0.0461293634	101337.88	101338.148	101330.268	101346.734	8.58574892	0	0	42517.6	0	0	3
5	21	0	0.0576617042	101331.29	101336.777	101330.268	101346.734	9.95733692	0	0	41490.1	0	0	3
6	24	0	0.0691940451	101335.689	101336.595	101330.268	101346.734	10.138672	0	0	40177.6	0	0	3
7	27	0	0.0807263859	101334.138	101336.244	101330.268	101346.734	10.4897196	0	0	39125.4	0	0	3
8	30	0	0.0922587268	101334.546	101336.032	101330.268	101346.734	10.7020399	0	0	36936.3	0	0	3
9	33	0	0.103791068	101333.865	101335.791	101330.268	101346.734	10.9427759	0	0	35483.7	0	0	3
10	37	0	0.115323408	101333.927	101335.605	101330.268	101346.734	11.1292262	0	0	34544.9	0	0	3
11	40	0	0.126855749	101331.169	101335.201	101330.268	101346.734	11.5324365	0	0	33966.7	0	0	3
12	43	0	0.13838809	101330.542	101334.813	101330.268	101346.734	11.9207442	0	0	32747.5	0	0	3
13	46	0	0.149920431	101330.061	101334.448	101330.061	101346.734	12.2863096	0	0	31899.6	0	0	3
14	50	0	0.161452772	101330.055	101334.134	101330.055	101346.734	12.600089	0	0	31660.4	0	0	3
15	53	0	0.172985113	101327.295	101333.678	101327.295	101346.734	13.0560164	0	0	31202.6	0	0	3
16	57	0	0.184517454	101327.073	101333.265	101327.073	101346.734	13.4688024	0	0	31173	0	0	3
17	61	0	0.196049794	101324.026	101332.722	101324.026	101346.734	14.0122796	0	0	31727.2	0	0	3
18	65	0	0.207582135	101323.361	101332.202	101323.361	101346.734	14.5323076	0	0	31668.8	0	0	3
19	68	0	0.219114476	101321.742	101331.651	101321.742	101346.734	15.0827967	0	0	31608.8	0	0	3
20	72	0	0.230646817	101321.836	101331.16	101321.742	101346.734	15.5735456	0	0	31417.6	0	0	3
21	75	0	0.242179158	101320.375	101330.647	101320.375	101346.734	16.0871149	0	0	31102.7	0	0	3
22	79	0	0.253711499	101319.889	101330.158	101319.889	101346.734	16.5761189	0	0	31042.1	0	0	3
23	83	0	0.265243839	101319.657	101329.701	101319.657	101346.734	17.0326822	0	0	30688.2	0	0	3
24	87	0	0.27677618	101318.997	101329.255	101318.997	101346.734	17.4786695	0	0	30740.3	0	0	3
25	91	0	0.288308521	101318.765	101328.836	101318.765	101346.734	17.8982929	0	0	30304.9	0	0	3
26	94	0	0.299840862	101318.191	101328.426	101318.191	101346.734	18.3076853	0	0	30211.4	0	0	3
27	98	0	0.311373203	101317.698	101328.029	101317.698	101346.734	18.7050253	0	0	30204.5	0	0	3
28	101	0	0.322905544	101317.58	101327.656	101317.58	101346.734	19.0782052	0	0	29940.2	0	0	3
29	104	0	0.334437885	101317.415	101327.303	101317.415	101346.734	19.4313372	0	0	30005	0	0	3
30	108	0	0.345970225	101316.877	101326.955	101316.877	101346.734	19.7788683	0	0	29791.9	0	0	3
31	111	0	0.357502566	101316.17	101326.607	101316.17	101346.734	20.1267834	0	0	29958.8	0	0	3
32	115	0	0.369034907	101315.68	101326.266	101315.68	101346.734	20.4682535	0	0	30060.1	0	0	3
33	118	0	0.380567248	101315.454	101325.938	101315.454	101346.734	20.7958766	0	0	29915.9	0	0	3
34	123	0	0.392099589	101315.013	101325.617	101315.013	101346.734	21.1171992	0	0	30170.2	0	0	3
35	126	0	0.40363193	101314.793	101325.307	101314.793	101346.734	21.4264539	0	0	29795.7	0	0	3
36	131	0	0.41516427	101314.528	101325.008	101314.528	101346.734	21.7258742	0	0	29908.6	0	0	3
37	135	0	0.426696611	101314.058	101324.712	101314.058	101346.734	22.0218112	0	0	29659.6	0	0	3
38	139	0	0.438228952	101313.865	101324.427	101313.865	101346.734	22.3072725	0	0	29785.3	0	0	3
39	142	0	0.449761293	101313.568	101324.148	101313.568	101346.734	22.5856996	0	0	29529.3	0	0	3
40	147	0	0.461293634	101312.979	101323.869	101312.979	101346.734	22.8649224	0	0	29613.2	0	0	3
41	151	0	0.472825975	101312.463	101323.591	101312.463	101346.734	23.1431104	0	0	29510.3	0	0	3
42	155	0	0.484358315	101311.66	101323.307	101311.66	101346.734	23.4271813	0	0	29450.7	0	0	3
43	159	0	0.495890656	101310.952	101323.019	101310.952	101346.734	23.7144912	0	0	29374.7	0	0	3
44	163	0	0.507422997	101310.211	101322.728	101310.211	101346.734	24.005589	0	0	29170.9	0	0	3
45	167	0	0.518955338	101309.659	101321.886	101309.659	101337.88	20.3369451	0	0	29102.3	0	0	3
46	171	0	0.530487679	101309.219	101321.238	101309.219	101337.88	16.9995293	0	0	29092.8	0	0	3
47	174	0	0.54202002	101308.857	101320.751	101308.857	101337.88	17.3966284	0	0	29084.1	0	0	3
48	177	0	0.553552361	101308.618	101320.086	101308.618	101335.689	16.6900722	0	0	28904.9	0	0	3
49	180	0	0.565084701	101308.479	101319.568	101308.479	101335.689	17.0271697	0	0	29047.9	0	0	3
