Time (sec),Rudder,Servo,Orig Servo,,
0,0.00,0.00,0.00,0.00,0.00
0.04,-1.06,-0.90,0.90,0.16,0.00
0.08,-2.12,-1.80,1.80,0.32,0.00
0.12,-3.17,-2.70,2.70,0.47,0.01
0.16,-4.23,-3.60,3.60,0.63,0.01
0.2,-5.30,-4.50,4.50,0.80,0.02
0.24,-6.36,-5.40,5.40,0.96,0.03
0.28,-7.42,-6.30,6.30,1.12,0.04
0.32,-8.49,-7.20,7.20,1.29,0.05
0.36,-9.56,-8.10,8.10,1.46,0.07
0.4,-10.63,-9.00,9.00,1.63,0.08
0.44,-11.70,-9.90,9.90,1.80,0.10
0.48,-12.77,-10.80,10.80,1.97,0.12
0.52,-13.85,-11.70,11.70,2.15,0.14
0.56,-14.92,-12.60,12.60,2.32,0.17
0.6,-16.00,-13.50,13.50,2.50,0.20
0.64,-17.09,-14.40,14.40,2.69,0.22
0.68,-18.17,-15.30,15.30,2.87,0.25
0.72,-19.26,-16.20,16.20,3.06,0.29
0.76,-20.36,-17.10,17.10,3.26,0.32
0.8,-21.45,-18.00,18.00,3.45,0.36
0.84,-22.55,-18.90,18.90,3.65,0.40
0.88,-23.65,-19.80,19.80,3.85,0.44
0.92,-24.76,-20.70,20.70,4.06,0.49
0.96,-25.87,-21.60,21.60,4.27,0.54
1,-26.99,-22.50,22.50,4.49,0.59
1.04,-28.11,-23.40,23.40,4.71,0.64
1.08,-29.24,-24.30,24.30,4.94,0.70
1.12,-30.37,-25.20,25.20,5.17,0.76
1.16,-31.51,-26.10,26.10,5.41,0.83
1.2,-32.66,-27.00,27.00,5.66,0.90
1.24,-33.81,-27.90,27.90,5.91,0.97
1.28,-34.97,-28.80,28.80,6.17,1.05
1.32,-36.13,-29.70,29.70,6.43,1.13
1.36,-37.31,-30.60,30.60,6.71,1.22
1.4,-38.49,-31.50,31.50,6.99,1.32
1.44,-39.69,-32.40,32.40,7.29,1.42
1.48,-40.89,-33.30,33.30,7.59,1.52
1.52,-42.11,-34.20,34.20,7.91,1.64
1.56,-43.33,-35.10,35.10,8.23,1.76
1.6,-44.57,-36.00,36.00,8.57,1.89
1.64,-45.83,-36.90,36.90,8.93,2.03
1.68,-47.10,-37.80,37.80,9.30,2.17
1.72,-48.39,-38.70,38.70,9.69,2.33
1.76,-49.69,-39.60,39.60,10.09,2.50
1.8,-51.02,-40.50,40.50,10.52,2.68
1.84,-52.37,-41.40,41.40,10.97,2.88
1.88,-53.74,-42.30,42.30,11.44,3.10
1.92,-55.14,-43.20,43.20,11.94,3.33
1.96,-56.57,-44.10,44.10,12.47,3.58
2,-58.04,-45.00,45.00,13.04,3.86
2.04,-56.57,-44.10,44.10,12.47,3.58
